epoch,participant,source,found,missed,invalid,cost,required_validations,completed_validations,escrow_count,raw_file
281,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz.json
281,gonka1jfv9n2af9y8xgnn6834mnp924vkpucmvchsq8d,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1jfv9n2af9y8xgnn6834mnp924vkpucmvchsq8d.json
281,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5.json
281,gonka1mu9ftknnz954jl4tnshmx0n3gyhglsk6h7qw0u,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1mu9ftknnz954jl4tnshmx0n3gyhglsk6h7qw0u.json
281,gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es.json
281,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3.json
281,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr.json
281,gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m.json
281,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg.json
281,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv.json
281,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs.json
281,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl.json
281,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v.json
281,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv.json
281,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt.json
281,gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg.json
281,gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88.json
281,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu.json
281,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239.json
281,gonka1v5cl6pudnagau7exyu3a9h74clw9zm7l5psp0r,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1v5cl6pudnagau7exyu3a9h74clw9zm7l5psp0r.json
281,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu.json
281,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah.json
281,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4.json
281,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk.json
281,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds.json
281,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le.json
281,gonka1y7mt2r8qalzdca9eq3pvf86c0puv0xfa60wl8w,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1y7mt2r8qalzdca9eq3pvf86c0puv0xfa60wl8w.json
